text,category,department,category_code,org_code,urgency,urgency_score
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Low,24
"threat to my family, urgent protection needed please help immediately",Home Affairs,Home Affairs,4742,MINHA,High,48
"repeatedly following up on refund, no action taken there is a medical emergency",Income Tax,Income Tax,4414,CBODT,Medium,36
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
"toll charged despite pass, request refund please help immediately",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,10
mid day meal not provided for 18 days at the government school please help immediately,School Education,School Education,398,DOSEL,Medium,25
tds credit not reflecting in my account,Income Tax,Income Tax,4414,CBODT,Low,8
"family pension denied after my husband's death, i am a widow this is urgent",Pension,Pension,6281,DEAPR,High,56
"harassment at workplace, no action taken despite complaints senior citizen with no other support",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
rural road construction incomplete for 9 months there is a medical emergency,Rural Development,Rural Development,4976,DORLD,Medium,32
"illegal construction next door, complained repeatedly no action no response despite repeated complaints",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,33
"maternity benefit not received, pregnant and no support i have complained repeatedly and it is still unresolved",Women and Child Development,Women and Child Development,5410,DOWCD,High,54
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,High,50
mgnrega wages not paid for 5 months to labourers in our village senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Medium,32
"false advertisement, product not as described, fraud my elderly parent is suffering",Consumer Affairs,Consumer Affairs,5409,DOCAF,High,49
"loan emi wrongly deducted twice, bank not responding",Banking,Banking,251,DEABD,Low,13
"speed post delivery delayed by 14 days, urgent documents inside please help immediately",Posts,Posts,61,DPOST,Medium,37
"overcharged above mrp, shopkeeper cheated me please help immediately",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,25
"school building unsafe, roof leaking, children at risk i have complained repeatedly and it is still unresolved",School Education,School Education,398,DOSEL,High,52
atm did not dispense cash but my account was debited,Banking,Banking,251,DEABD,Low,16
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,5
"wrong tax demand raised, no response to my grievance no response despite repeated complaints",Income Tax,Income Tax,4414,CBODT,Low,18
"amount debited from my account but transaction failed, 3 months no refund",Banking,Banking,251,DEABD,Low,20
my landline has been dead for 14 days and no technician has come this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,20
"speed post delivery delayed by 12 days, urgent documents inside",Posts,Posts,61,DPOST,Low,24
"water scheme funds misused, corruption suspected there is a medical emergency",Rural Development,Rural Development,4976,DORLD,Medium,44
request for transfer certificate pending since 7 months,School Education,School Education,398,DOSEL,Low,16
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"job card application pending, repeatedly visiting the office my elderly parent is suffering",Rural Development,Rural Development,4976,DORLD,Medium,37
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"driving licence renewal pending for 1 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
"loan emi wrongly deducted twice, bank not responding my elderly parent is suffering",Banking,Banking,251,DEABD,Medium,27
"my provident fund withdrawal pending for 1 months, need it urgently no response despite repeated complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,34
"wrong tax demand raised, no response to my grievance there is a medical emergency",Income Tax,Income Tax,4414,CBODT,Medium,32
anganwadi not providing nutrition to children for 5 days this is urgent,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,35
tds credit not reflecting in my account situation is unsafe and dangerous,Income Tax,Income Tax,4414,CBODT,Medium,28
request for information about property tax payment no response despite repeated complaints,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,9
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
request for status update on my pension revision application there is a medical emergency,Pension,Pension,6281,DEAPR,Low,22
income tax refund pending for 9 months despite filing,Income Tax,Income Tax,4414,CBODT,Low,19
"maternity benefit not received, pregnant and no support no response despite repeated complaints",Women and Child Development,Women and Child Development,5410,DOWCD,High,57
request for update on my esi claim my elderly parent is suffering,Labour and Employment,Labour and Employment,2173,MOLBR,Low,18
"wrong tax demand raised, no response to my grievance",Income Tax,Income Tax,4414,CBODT,Low,23
mid day meal not provided for 12 days at the government school there is a medical emergency,School Education,School Education,398,DOSEL,Medium,29
request for information about property tax payment i have complained repeatedly and it is still unresolved,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,14
"safety concern in my locality, no police response, danger there is a medical emergency",Home Affairs,Home Affairs,4742,MINHA,High,46
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"teacher shortage in the school, no classes happening",School Education,School Education,398,DOSEL,Low,8
atm did not dispense cash but my account was debited,Banking,Banking,251,DEABD,Low,13
request for information about child care schemes situation is unsafe and dangerous,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,40
"my father's pension has been stopped since 5 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,54
my registered parcel has been stuck in transit for 18 days situation is unsafe and dangerous,Posts,Posts,61,DPOST,Medium,37
mgnrega wages not paid for 1 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,20
"purchased defective product, seller refusing refund for 7 months",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,23
request for information about the vaccination schedule,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,7
"ppo number not updated, pension pending, repeatedly following up situation is unsafe and dangerous",Pension,Pension,6281,DEAPR,Medium,29
mgnrega wages not paid for 3 months to labourers in our village please help immediately,Rural Development,Rural Development,4976,DORLD,Medium,26
request for transfer certificate pending since 1 months no response despite repeated complaints,School Education,School Education,398,DOSEL,Medium,28
"illegal construction next door, complained repeatedly no action i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,40
"fir not registered despite repeated visits, harassment no response despite repeated complaints",Home Affairs,Home Affairs,4742,MINHA,Medium,36
request for information about filing a consumer complaint senior citizen with no other support,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,22
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
